date,deal_name,account,attendees,outcome,notes
2026-05-22,Trident Charter Maintenance Suite,Trident Charter,"Maya Cohen, K. Billiot",Positive,Verbal yes; legal review only
2026-05-21,Beacon Cargo Refuel Program,Beacon Cargo,"Eric Solis, K. Billiot",Positive,Redline discussion; resolved 3 of 4 points
2026-05-21,Delta Logistics Insight,Delta Logistics,"Mark Liu, R. Lopez",Positive,COO wants demo for ops team next week
2026-05-20,Northern Skies Annual,Northern Skies,"Lisa Marquez, Procurement, K. Billiot",Positive,Procurement greenlight; redline returning in 2d
2026-05-19,Pacific Regional Fleet Pilot,Pacific Regional,"Jen Park, M. Tran",Neutral,Sent comparison doc; awaiting feedback
2026-05-18,Trident Charter Maintenance Suite,Trident Charter,"Maya Cohen, K. Billiot",Positive,Agreed scope and price
2026-05-17,Polar Air OCC Pilot,Polar Air,"Greg Hall, R. Lopez",Neutral,Initial discovery; mapping ops workflow
2026-05-16,Summit Air Crew Module,Summit Air,"Priya Shah, K. Billiot",Neutral,Pricing pushback; sent ROI worksheet
2026-05-15,Greenline Air Renewal,Greenline Air,"Reggie Park, K. Billiot",Positive,Renewal signed
2026-05-13,Coastal Charter MRO Deal,Coastal Charter,"Tom Healy, M. Tran",Neutral,Awaiting board sign-off on Q2 spend
2026-05-12,Sapphire Jet Crew Optimization,Sapphire Jet,"Hannah Lim, R. Lopez",Positive,Scoping crew legality module
2026-05-08,Atlas Freight Expansion,Atlas Freight,"Brian Cole, M. Tran",Neutral,Follow-up on requirements
2026-05-03,Mesa Aviation Pilot,Mesa Aviation,"Sara Quinn, M. Tran",Neutral,Demo follow-up; minimal engagement
2026-04-30,Skyline Cargo Annual Renewal,Skyline Air,"Ana Reyes, K. Billiot",Neutral,Pricing TBD; awaiting CFO availability
2026-04-26,Aero Express Network OTP,Aero Express,"Cyrus Wei, K. Billiot",Neutral,Sent two pricing options; quiet since
2026-04-22,Atlas Freight Expansion,Atlas Freight,"Brian Cole, M. Tran",Positive,Strong first call; engaged
2026-04-20,Falcon MRO Expansion,Falcon MRO,"Paul Otieno, M. Tran",Neutral,Approvals pending; no champion identified
2026-04-15,Vanguard Aviation Crew Legality,Vanguard Aviation,"Olivia Burns, M. Tran",Negative,Lost momentum; reorg internally
2026-04-11,Harbor Helicopters Trial,Harbor Helicopters,"Dan Werner, R. Lopez",Negative,Low engagement; scheduler can't sponsor
2026-04-08,Sapphire Jet Crew Optimization,Sapphire Jet,"Hannah Lim, R. Lopez",Neutral,Intro call; gathering requirements
2026-03-28,Aero Express Network OTP,Aero Express,"Cyrus Wei, K. Billiot",Positive,Initial pricing conversation
2026-03-20,Aero Express Network OTP,Aero Express,"Cyrus Wei, K. Billiot",Neutral,Moved to proposal; no exec yet
