date,deal_name,account,attendees,outcome,notes
2026-05-22,Atlas Studios Enterprise,Atlas Studios,"Devon Cole, Sarah Chen",Positive,Reviewed scope; aligned on rollout plan
2026-05-21,Cascade Systems Renewal,Cascade Systems,"Lena Vargas, Procurement, Mike Reyes",Positive,Final terms agreed; signature this week
2026-05-21,Nimbus Cloud Pilot,Nimbus Cloud,"Eli Hayes, Tom Liu",Neutral,Initial fit assessment; sent overview
2026-05-20,Vista Group Enterprise,Vista Group,"Chris Bauer, Sarah Chen",Positive,Exec review went well; legal next
2026-05-19,Bright Inc Annual,Bright Inc,"Diana Wu, Mike Reyes",Positive,Technical evaluation passed
2026-05-19,Trove Studios Annual,Trove Studios,"Carla Mendes, Sarah Chen",Positive,Contract signed
2026-05-18,Echo Networks SMB,Echo Networks,"Sam Patel, Tom Liu",Neutral,Demo done; gathering team feedback
2026-05-15,Helix Labs Trial,Helix Labs,"Ryan Kim, Sarah Chen",Neutral,Technical Q&A; no decision yet
2026-05-13,Cascade Systems Renewal,Cascade Systems,"Lena Vargas, Mike Reyes",Positive,Pricing locked; legal redline incoming
2026-05-09,Lumen Health SaaS,Lumen Health,"Maya Foss, Sarah Chen",Neutral,Awaiting CFO availability for pricing
2026-05-08,Bright Inc Annual,Bright Inc,"Diana Wu, Mike Reyes",Neutral,Scoping discussion
2026-04-30,Orbit Data Migration,Orbit Data,"Pat Nyland, Mike Reyes",Neutral,Demo follow-up; team is busy
2026-04-30,Atlas Studios Enterprise,Atlas Studios,"Devon Cole, Sarah Chen",Positive,Intro call with President
2026-04-25,Acme Corp Enterprise,Acme Corp,"Joel Park, Sarah Chen",Neutral,Pricing pushed to CFO; quiet since
2026-04-22,Bright Inc Annual,Bright Inc,"Diana Wu, Mike Reyes",Positive,First evaluation; positive signals
2026-04-20,Polaris Tech Expansion,Polaris Tech,"Aria Singh, Tom Liu",Negative,No movement; sponsor unresponsive
2026-04-10,Forge Industries Modular,Forge Industries,"Jess Quinn, Mike Reyes",Neutral,Vendor list discussion; not selected for shortlist
2026-04-08,Quantum Co Pilot,Quantum Co,"Owen Diaz, Sarah Chen",Neutral,Lost momentum after first call
2026-04-02,Lumen Health SaaS,Lumen Health,"Maya Foss, Sarah Chen",Positive,Initial proposal walk-through
